native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18198	18198	2	48.290132	controllerType=0 controllerNumber=1 scan=18186	383.888671875	ca729ab2a78e70d1cfec32dadeb903ddba9696f8f84cd37f43d3ab904e52a0e7	True
controllerType=0 controllerNumber=1 scan=18199	18199	2	48.290901	controllerType=0 controllerNumber=1 scan=18186	1285.0138	b4d3f9b9132a6b1499638e1c2f0d344544f380a554eb773cd3d43c5ba239b919	True
controllerType=0 controllerNumber=1 scan=18200	18200	2	48.291645	controllerType=0 controllerNumber=1 scan=18186	417.460296630859	1664f594c5e4847253719159828fa4b4b313f7e46073c33e5189d1ff1ffed5ae	True
controllerType=0 controllerNumber=1 scan=18201	18201	2	48.292378	controllerType=0 controllerNumber=1 scan=18186	422.253295898438	b870cea14bc634f99217eb6975597fef171046e78d0cec3516fc8d82b1497f67	True
controllerType=0 controllerNumber=1 scan=18202	18202	1	48.293441			c0f201760c4f1106e15d38d1da8faccd79f80c20429de09ed18df71b8d50e409	True
controllerType=0 controllerNumber=1 scan=18203	18203	2	48.295572	controllerType=0 controllerNumber=1 scan=18202	627.809	7a1282527dbd5a47f5b4e1a289f22c332a4d52ad0f5a712141913610b7e9d909	True
controllerType=0 controllerNumber=1 scan=18204	18204	2	48.296314	controllerType=0 controllerNumber=1 scan=18202	533.812194824219	d4d0fd2a4cefe8f033460d30448dc86ef30ae9b94f3437fb3f08bf3dd8895ae9	True
controllerType=0 controllerNumber=1 scan=18205	18205	2	48.297041	controllerType=0 controllerNumber=1 scan=18202	380.728088378906	27de6c9fae47f4912baf3e988443d1fbb94e1cc174c90dbc9a7014cb25278db1	True
controllerType=0 controllerNumber=1 scan=18206	18206	2	48.297695	controllerType=0 controllerNumber=1 scan=18202	492.795227050781	9a66b2114fff0b4bd536b27e1880e1db3cb8e9335f42151caa9de4617a43661e	True
controllerType=0 controllerNumber=1 scan=18207	18207	2	48.298424	controllerType=0 controllerNumber=1 scan=18202	386.181762695313	f2ae46bc92191e8d1c387ff2352590e895c72132146e48f57085212ec767ac58	True
controllerType=0 controllerNumber=1 scan=18208	18208	2	48.299157	controllerType=0 controllerNumber=1 scan=18202	595.7998046875	b7e9e639a078ee7ec7b75a6ece9aefa800907ecd55eec3b0a18c918dd06f3b25	True
controllerType=0 controllerNumber=1 scan=18209	18209	2	48.299903	controllerType=0 controllerNumber=1 scan=18202	593.305	49238fe0af666de5796040635fd8b7967a8b670e38a1c0793b5e232d1d6d58a0	True
