sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_4de38af76fd489a7afd4a700bedbc17e2b81353092a7ea5d1856b279ca803614	CAMPI_4de38af76fd489a7afd4a700bedbc17e2b81353092a7ea5d1856b279ca803614	4	4	330544656.3510352
S01	CAMPI_4f37c9158f4918b4ceb059ba9fd4c5daa0b8f642337f0c153a3483d5147c16e8	CAMPI_4f37c9158f4918b4ceb059ba9fd4c5daa0b8f642337f0c153a3483d5147c16e8	1	1	60659252.4741083
S01	CAMPI_50367bdee76b1f15ce78dd86d4ad5b01814228fd677784713d0f3b4421a83dd6	CAMPI_50367bdee76b1f15ce78dd86d4ad5b01814228fd677784713d0f3b4421a83dd6	3	3	240468559.97643095
S01	CAMPI_52860e69360d3272e8db2c0974b936dae903f2bf837b354481bfa8da3934ae80	CAMPI_52860e69360d3272e8db2c0974b936dae903f2bf837b354481bfa8da3934ae80	7	7	1257722930.061153
S01	CAMPI_52a08548b8be1f842c6544b51012100c4f5cf8c306d1e4b31fc106e437ebc326	CAMPI_52a08548b8be1f842c6544b51012100c4f5cf8c306d1e4b31fc106e437ebc326	1	1	75902334.5334002
S01	CAMPI_54e9e6d365a09346aa9809433b501bd26ee0fff412ac22f5d3794b77685f9107	CAMPI_54e9e6d365a09346aa9809433b501bd26ee0fff412ac22f5d3794b77685f9107	2	2	155179422.11908704
S01	CAMPI_550684c5e55e410f72ec299400b4757fa9bde08645be5e37daddf2ac6e161c50	CAMPI_550684c5e55e410f72ec299400b4757fa9bde08645be5e37daddf2ac6e161c50	1	1	30371608.726991277
S01	CAMPI_550736ad1af58a5e23addf87ba59070cd1ce09930022d16688805a76dba9692d	CAMPI_550736ad1af58a5e23addf87ba59070cd1ce09930022d16688805a76dba9692d	1	1	125553473.82532632
S01	CAMPI_5664d8be66795b12a5bae94388d822e86e8b873de9e2d9ddbfc04a59c27ed6ce	CAMPI_5664d8be66795b12a5bae94388d822e86e8b873de9e2d9ddbfc04a59c27ed6ce	3	3	181378138.28951603
S01	CAMPI_587cdee4c4ddf7b999a278f84be13a9aa4ed6d8ce22604fe45d0bb15fa26c4d9	CAMPI_587cdee4c4ddf7b999a278f84be13a9aa4ed6d8ce22604fe45d0bb15fa26c4d9	1	1	32980562.504383832
S01	CAMPI_58ea60ac3f2ea70fb4977327954cf220bb42239b39a5752b2621e7c7d6a044b2	CAMPI_58ea60ac3f2ea70fb4977327954cf220bb42239b39a5752b2621e7c7d6a044b2	1	1	6072245.276571138
S01	CAMPI_5a11cce8bd5ef084d82026dbc3e0e336d1a5827cf9e366e3f1bb47d00cb4ec38	CAMPI_5a11cce8bd5ef084d82026dbc3e0e336d1a5827cf9e366e3f1bb47d00cb4ec38	3	3	38048777.74142519
S01	CAMPI_5a5f751b9dc3f44d0ca0c8df1e5b705d7293c511944a6e0fb02f316db3beec13	CAMPI_5a5f751b9dc3f44d0ca0c8df1e5b705d7293c511944a6e0fb02f316db3beec13	1	1	352700453.2609857
S01	CAMPI_5a5f751b9dc3f44d0ca0c8df1e5b705d7293c511944a6e0fb02f316db3beec13	CAMPI_c441c84224d4be45b80629c2a8a57b3eefbb8b205bc299e5c2b7d0d42c3545f8	1	1	3152522231.767076
S01	CAMPI_5a69cef7f22dd04eb942e746d36f129d6b14b9392b3533b5d9faa626390beccd	CAMPI_5a69cef7f22dd04eb942e746d36f129d6b14b9392b3533b5d9faa626390beccd	2	2	16578002.764500638
S01	CAMPI_5ae018957900259b515abb4b4c0714afa8407ecf589305bd85f32f703cb759e0	CAMPI_5ae018957900259b515abb4b4c0714afa8407ecf589305bd85f32f703cb759e0	2	2	1517532007.2084932
S01	CAMPI_5c6cbc841641b9a86c172e56233b786e275e207ac96c99c0e64555f473f1a3f6	CAMPI_5c6cbc841641b9a86c172e56233b786e275e207ac96c99c0e64555f473f1a3f6	1	1	50031585.61751775
S01	CAMPI_5cbf6ef5c6c51911fc333f8c43dcd23120e37b9fdc5203ded401cc02ca3a181b	CAMPI_5cbf6ef5c6c51911fc333f8c43dcd23120e37b9fdc5203ded401cc02ca3a181b	3	3	79120744.6332997
S01	CAMPI_5d0669004bbc39ab8a252b00899f511315c3e583cf411f958a77b4200692e7cb	CAMPI_5d0669004bbc39ab8a252b00899f511315c3e583cf411f958a77b4200692e7cb	2	2	34723544.49803113
S01	CAMPI_5d48f214912a5834ee2ad81c04a13d5e1f6cee700e36fa24b7a34cb40bed8fec	CAMPI_5d48f214912a5834ee2ad81c04a13d5e1f6cee700e36fa24b7a34cb40bed8fec	1	1	10782339.746633222
